run	solution_id	CT	LoadSTD	QLoss	station_loads	station_assignment	tool_assignment
2	32	496.8	141.260217	0.168802	[201.20,450.00,156.20,467.80,487.20,496.80]	[3,3,2,3,3,3,4,4,4,0,2,3,3,3,0,4,4,0,1,3,4,5,5,5]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
2	33	496.8	124.698058	0.171236	[202.40,450.00,206.20,419.60,487.20,496.80]	[3,2,3,3,3,3,4,4,4,0,2,3,3,3,0,4,4,0,1,2,4,5,5,5]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
2	34	496.8	102.939795	0.171266	[202.40,450.00,276.20,427.50,403.60,496.80]	[3,3,2,3,3,3,4,4,4,0,3,4,4,2,0,2,3,0,1,3,4,5,5,5]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
2	35	563.7	137.120609	0.167068	[201.20,450.00,220.00,563.70,324.80,496.80]	[3,3,3,3,3,4,4,4,4,0,3,3,3,2,0,2,3,0,1,3,4,5,5,5]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
2	36	496.8	92.944529	0.177121	[201.80,450.00,344.20,395.40,370.40,496.80]	[3,2,2,3,4,4,4,4,4,0,3,3,3,2,0,2,3,0,1,3,4,5,5,5]	[0,0,1,0,0,0,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
2	37	564	181.744974	0.165986	[201.20,450.00,60.00,564.00,487.20,496.80]	[3,3,3,3,3,3,4,4,4,0,3,3,3,2,0,4,4,0,1,3,4,5,5,5]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
2	38	496.8	127.214552	0.170394	[201.20,450.00,196.80,482.80,430.40,496.80]	[2,3,3,3,3,3,3,4,4,0,2,3,3,3,0,4,4,0,1,2,4,5,5,5]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
2	39	496.8	92.960326	0.176338	[202.40,450.00,343.00,399.00,370.40,496.80]	[3,2,2,3,4,4,4,4,4,0,3,3,3,2,0,2,3,0,1,3,4,5,5,5]	[0,0,1,0,0,0,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
2	40	496.8	92.125506	0.178481	[202.40,450.00,358.30,390.40,361.90,496.80]	[2,2,2,3,3,4,4,4,4,0,2,2,4,3,0,3,3,0,1,3,4,5,5,5]	[0,1,0,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
2	41	496.8	93.124481	0.175948	[201.80,450.00,341.20,395.40,370.40,496.80]	[3,2,2,3,4,4,4,4,4,0,3,3,3,2,0,2,3,0,1,3,4,5,5,5]	[0,1,1,0,0,0,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
2	42	561.6	181.23776	0.168324	[201.80,450.00,60.00,561.60,487.20,496.80]	[3,3,3,3,3,3,4,4,4,0,3,3,3,2,0,4,4,0,1,3,4,5,5,5]	[0,0,1,0,0,0,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
2	43	496.8	91.557895	0.178949	[202.40,450.00,375.40,367.20,371.30,496.80]	[2,3,2,3,4,4,4,4,4,0,3,3,3,2,0,2,3,0,1,2,4,5,5,5]	[0,0,0,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
2	44	526	127.620083	0.168635	[201.20,450.00,220.00,526.00,359.80,496.80]	[3,3,3,3,3,4,4,4,4,0,3,3,3,2,0,2,4,0,1,3,4,5,5,5]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
2	45	506.3	115.516123	0.171009	[201.20,450.00,276.80,506.30,324.80,496.80]	[3,3,2,3,3,4,4,4,4,0,3,3,3,2,0,2,3,0,1,3,4,5,5,5]	[0,1,0,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
2	46	507.5	115.274288	0.171202	[202.40,450.00,278.60,507.50,323.60,496.80]	[3,3,2,3,3,3,4,4,4,0,3,3,4,2,0,2,3,0,1,3,4,5,5,5]	[0,1,0,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
2	47	496.8	94.379772	0.172018	[202.40,450.00,400.00,382.50,324.80,496.80]	[3,3,3,3,3,4,4,4,4,0,2,2,3,2,0,2,3,0,1,3,4,5,5,5]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
3	48	496.8	100.617567	0.167726	[248.60,450.00,260.00,469.50,328.60,496.80]	[3,3,0,3,3,3,4,4,4,3,2,3,3,0,0,2,3,0,1,4,4,5,5,5]	[0,1,0,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
3	49	509.5	112.420111	0.166518	[246.20,450.00,260.00,509.50,288.60,496.80]	[3,3,0,3,3,3,4,4,4,3,2,3,3,0,0,2,3,0,1,3,4,5,5,5]	[0,0,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
3	50	511	112.49115	0.165736	[247.40,450.00,260.00,511.00,288.60,496.80]	[3,3,0,3,3,3,4,4,4,3,2,3,3,0,0,2,3,0,1,3,4,5,5,5]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
